"",".model","dates",".mean","month","minorUpdate","majorUpdate","n","n2","80%_lower","80%_upper"
"1","ARIMA3",2025 Feb,75.8815394485985,2,0,0,152,23104,70.8578713335711,80.905207563626
"2","ARIMA3",2025 Mar,74.8566298068521,3,0,0,153,23409,67.3575696798202,82.355689933884
"3","ARIMA3",2025 Apr,74.5744562485502,4,0,0,154,23716,66.3707815045523,82.7781309925481
"4","ARIMA3",2025 May,74.668948611711,5,0,0,155,24025,66.178076501287,83.1598207221349
"5","ARIMA3",2025 Jun,76.5678356320922,6,1,0,156,24336,67.9250685192682,85.2106027449162
"6","ARIMA3",2025 Jul,76.1435325754441,7,0.5,0,157,24649,67.4004091550884,84.8866559957998
"7","ARIMA3",2025 Aug,76.1717004307706,8,0.25,0,158,24964,67.3502876789514,84.9931131825898
"8","ARIMA3",2025 Sep,76.2247822915301,9,0,0,159,25281,67.3353635267898,85.1142010562704
"9","ARIMA3",2025 Oct,76.6938426065153,10,0,0,160,25600,67.7415258436255,85.6461593694052
"10","ARIMA3",2025 Nov,77.1693104001459,11,0,0,161,25921,68.1567861925324,86.1818346077594
"11","ARIMA3",2025 Dec,79.2614026044023,12,1,0,162,26244,70.1901893540213,88.3326158547832
"12","ARIMA3",2026 Jan,78.935080257508,1,0.5,0,163,26569,69.8061150476037,88.0640454674123
"13","ARIMA3",2026 Feb,79.0129373566287,2,0.25,0,164,26896,69.8268643582875,88.1990103549699
"14","ARIMA3",2026 Mar,79.0912182688652,3,0,0,165,27225,69.8485317460661,88.3339047916642
"15","ARIMA3",2026 Apr,79.573057852498,4,0,0,166,27556,70.2741736915084,88.8719420134875
"16","ARIMA3",2026 May,80.0550064339993,5,0,0,167,27889,70.700298115706,89.4097147522926
"17","ARIMA3",2026 Jun,82.1503852591557,6,1,0,168,28224,72.7402020306064,91.560568487705
"18","ARIMA3",2026 Jul,81.8257296659274,7,0.5,0,169,28561,72.3604057697572,91.2910535620975
"19","ARIMA3",2026 Aug,81.9044320307075,8,0.25,0,170,28900,72.3842914333627,91.4245726280524
"20","ARIMA3",2026 Sep,81.9831416049891,9,0,0,171,29241,72.4085004556455,91.5577827543327
"21","ARIMA3",2026 Oct,82.4651985772581,10,0,0,172,29584,72.8363665206802,92.094030633836
"22","ARIMA3",2026 Nov,82.947257403694,11,0,0,173,29929,73.264538312799,92.629976494589
"23","ARIMA3",2026 Dec,85.0426921376865,12,1,0,174,30276,75.3063845509604,94.7789997244126
