,dates,values,avgVal,peakPlayer
0,7/1/2012,[2.55],2.55,117917
1,8/1/2012,[],,120436
2,9/1/2012,[2.5],2.5,106853
3,10/1/2012,"[2.55, 2.66, 2.66]",2.6233333333333335,106861
4,11/1/2012,"[2.66, 2.66, 2.66, 2.77, 2.66, 2.77]",2.6966666666666668,80851
5,12/1/2012,"[2.77, 2.88, 3, 3, 3.11]",2.952,74300
6,1/1/2013,"[3.11, 3.22, 3.22, 3.33, 3.33, 3.33]",3.2566666666666664,74968
7,2/1/2013,"[3.44, 3.44, 3.55, 3.55, 3.66, 3.66, 3.77]",3.5814285714285714,73221
8,3/1/2013,"[3.77, 3.88, 3.88, 4, 4, 4.11, 4.11, 4.22]",3.99625,73902
9,4/1/2013,"[4.33, 4.33, 4.44, 4.55, 4.55, 4.66, 4.66, 4.77, 4.88, 4.66]",4.583,75126
10,5/1/2013,"[4.66, 4.77, 5, 5, 5.11]",4.9079999999999995,77349
11,6/1/2013,"[5.22, 5.33, 5.33, 5.44]",5.33,78100
12,7/1/2013,"[5.44, 5.55, 5.66]",5.55,74504
13,8/1/2013,"[5.66, 5.77, 5.77]",5.733333333333333,77493
14,9/1/2013,"[5.88, 6]",5.9399999999999995,80551
15,10/1/2013,"[6, 6.11, 6.11]",6.073333333333333,88530
16,11/1/2013,"[6.11, 6.22]",6.165,86393
17,12/1/2013,"[6.22, 6.33, 6.44, 6.77]",6.44,88315
18,1/1/2014,[7],7,84061
19,2/1/2014,[7],7,84020
20,3/1/2014,"[7.11, 7.11, 7.33]",7.183333333333334,83410
21,4/1/2014,"[7.44, 7.44]",7.44,81755
22,5/1/2014,"[7.55, 7.66, 7.77, 8, 8.22]",7.840000000000001,90242
23,6/1/2014,"[8.33, 8.44, 8.55, 8.55]",8.467500000000001,89077
24,7/1/2014,"[8.44, 8.44, 8.33, 8.22, 8.11]",8.308,83414
25,8/1/2014,"[8, 7.88, 7.66, 7.55, 7.44, 7.33]",7.6433333333333335,93749
26,9/1/2014,"[7.44, 7.66, 8, 8.33, 8.55, 8.66]",8.106666666666667,101741
27,10/1/2014,"[8.66, 9, 9, 9.33, 9.66]",9.13,104799
28,11/1/2014,"[9.66, 10, 10.33, 10.77, 11.33, 12]",10.681666666666667,97449
29,12/1/2014,"[12.66, 13, 14, 15, 16.66, 17]",14.719999999999999,98054
30,1/1/2015,"[16.66, 14, 13, 13.33, 13.66, 14, 14.66]",14.187142857142856,94941
31,2/1/2015,"[15, 15.33, 15.66, 16]",15.497499999999999,89571
32,3/1/2015,"[16.66, 17, 17, 17.66, 18, 19]",17.55333333333333,85947
