"",".model","dates","avgVal",".mean","month","minorUpdate","majorUpdate","n","n2"
"1","ARIMA2",2025 Feb,N(77, 14),77.4078654006977,2,0,0,152,23104
"2","ARIMA2",2025 Mar,N(76, 31),75.6555681636957,3,0,0,153,23409
"3","ARIMA2",2025 Apr,N(78, 36),77.8995190836504,4,0,0,154,23716
"4","ARIMA2",2025 May,N(78, 40),77.5191322578161,5,0,0,155,24025
"5","ARIMA2",2025 Jun,N(81, 41),81.1623877478283,6,1,0,156,24336
"6","ARIMA2",2025 Jul,N(79, 42),78.8647960306842,7,0,0,157,24649
"7","ARIMA2",2025 Aug,N(80, 43),79.8889415813257,8,0,0,158,24964
"8","ARIMA2",2025 Sep,N(80, 43),80.0194690605302,9,0,0,159,25281
"9","ARIMA2",2025 Oct,N(81, 43),80.9318802072724,10,0,0,160,25600
"10","ARIMA2",2025 Nov,N(81, 43),81.0981087746846,11,0,0,161,25921
"11","ARIMA2",2025 Dec,N(84, 43),84.2762741604963,12,1,0,162,26244
"12","ARIMA2",2026 Jan,N(82, 43),82.1440127050387,1,0,0,163,26569
"13","ARIMA2",2026 Feb,N(83, 44),82.9827300037622,2,0,0,164,26896
"14","ARIMA2",2026 Mar,N(83, 44),83.1747947747618,3,0,0,165,27225
"15","ARIMA2",2026 Apr,N(84, 44),83.9961604712763,4,0,0,166,27556
"16","ARIMA2",2026 May,N(84, 44),84.198175905119,5,0,0,167,27889
"17","ARIMA2",2026 Jun,N(87, 44),87.3194510935385,6,1,0,168,28224
"18","ARIMA2",2026 Jul,N(85, 44),85.2177598391323,7,0,0,169,28561
"19","ARIMA2",2026 Aug,N(86, 44),86.0132818700089,8,0,0,170,28900
"20","ARIMA2",2026 Sep,N(86, 44),86.2353097294335,9,0,0,171,29241
"21","ARIMA2",2026 Oct,N(87, 44),87.0197815686062,10,0,0,172,29584
"22","ARIMA2",2026 Nov,N(87, 44),87.2517170535353,11,0,0,173,29929
"23","ARIMA2",2026 Dec,N(90, 44),90.3395113481529,12,1,0,174,30276
"24","ARIMA2",2027 Jan,N(88, 44),88.2674429892731,1,0,0,175,30625
"25","ARIMA2",2027 Feb,N(89, 44),89.0316650120012,2,0,0,176,30976
"26","ARIMA2",2027 Mar,N(89, 44),89.2827303631097,3,0,0,177,31329
"27","ARIMA2",2027 Apr,N(90, 44),90.0375080708006,4,0,0,178,31684
"28","ARIMA2",2027 May,N(90, 44),90.2977092456723,5,0,0,179,32041
"29","ARIMA2",2027 Jun,N(93, 44),93.3571220849177,6,1,0,180,32400
"30","ARIMA2",2027 Jul,N(91, 44),91.3124508320439,7,0,0,181,32761
"31","ARIMA2",2027 Aug,N(92, 44),92.0494405019329,8,0,0,182,33124
"32","ARIMA2",2027 Sep,N(92, 44),92.3269953429802,9,0,0,183,33489
"33","ARIMA2",2027 Oct,N(93, 44),93.0555893395808,10,0,0,184,33856
"34","ARIMA2",2027 Nov,N(93, 44),93.3413666022836,11,0,0,185,34225
"35","ARIMA2",2027 Dec,N(96, 44),96.3755760542321,12,1,0,186,34596
"36","ARIMA2",2028 Jan,N(94, 44),94.3555796938716,1,0,0,187,34969
"37","ARIMA2",2028 Feb,N(95, 44),95.0682950036369,2,0,0,188,35344
"38","ARIMA2",2028 Mar,N(95, 44),95.3696449973771,3,0,0,189,35721
"39","ARIMA2",2028 Apr,N(96, 44),96.0748517547886,4,0,0,190,36100
"40","ARIMA2",2028 May,N(96, 44),96.383570320224,5,0,0,191,36481
"41","ARIMA2",2028 Jun,N(99, 44),99.3952431995427,6,1,0,192,36864
"42","ARIMA2",2028 Jul,N(97, 44),97.3973620265727,7,0,0,193,37249
"43","ARIMA2",2028 Aug,N(98, 44),98.0883583610682,8,0,0,194,37636
"44","ARIMA2",2028 Sep,N(98, 44),98.411025636808,9,0,0,195,38025
"45","ARIMA2",2028 Oct,N(99, 44),99.0953002314617,10,0,0,196,38416
"46","ARIMA2",2028 Nov,N(99, 44),99.4245661472935,11,0,0,197,38809
"47","ARIMA2",2028 Dec,N(102, 44),102.416064578993,12,1,0,198,39204
"48","ARIMA2",2029 Jan,N(100, 44),100.437988202212,1,0,0,199,39601
"49","ARIMA2",2029 Feb,N(101, 44),101.109540062314,2,0,0,200,40000
"50","ARIMA2",2029 Mar,N(101, 44),101.451296187125,3,0,0,201,40401
"51","ARIMA2",2029 Apr,N(102, 44),102.116829702139,4,0,0,202,40804
"52","ARIMA2",2029 May,N(102, 44),102.464494281059,5,0,0,203,41209
"53","ARIMA2",2029 Jun,N(105, 44),105.437929495244,6,1,0,204,41616
"54","ARIMA2",2029 Jul,N(103, 44),103.477586486564,7,0,0,205,42025
"55","ARIMA2",2029 Aug,N(104, 44),104.131728426762,8,0,0,206,42436
"56","ARIMA2",2029 Sep,N(104, 44),104.490576648042,9,0,0,207,42849
"57","ARIMA2",2029 Oct,N(105, 44),105.139329888259,10,0,0,208,43264
"58","ARIMA2",2029 Nov,N(106, 44),105.503468463778,11,0,0,209,43681
"59","ARIMA2",2029 Dec,N(108, 44),108.460730263648,12,1,0,210,44100
"60","ARIMA2",2030 Jan,N(107, 44),106.516265494567,1,0,0,211,44521
"61","ARIMA2",2030 Feb,N(107, 44),107.154818926908,2,0,0,212,44944
"62","ARIMA2",2030 Mar,N(108, 44),107.528971170452,3,0,0,213,45369
"63","ARIMA2",2030 Apr,N(108, 44),108.16269965269,4,0,0,214,45796
"64","ARIMA2",2030 May,N(109, 44),108.54158879638,5,0,0,215,46225
"65","ARIMA2",2030 Jun,N(111, 44),111.484369198528,6,1,0,216,46656
"66","ARIMA2",2030 Jul,N(110, 44),109.554121557228,7,0,0,217,47089
"67","ARIMA2",2030 Aug,N(110, 44),110.178717300832,8,0,0,218,47524
"68","ARIMA2",2030 Sep,N(111, 44),110.566572522398,9,0,0,219,47961
"69","ARIMA2",2030 Oct,N(111, 44),111.186848084804,10,0,0,220,48400
"70","ARIMA2",2030 Nov,N(112, 44),111.578944650137,11,0,0,221,48841
"71","ARIMA2",2030 Dec,N(115, 44),114.508758646503,12,1,0,222,49284
"72","ARIMA2",2031 Jan,N(113, 44),112.591240791628,1,0,0,223,49729
"73","ARIMA2",2031 Feb,N(113, 44),113.203339048961,2,0,0,224,50176
"74","ARIMA2",2031 Mar,N(114, 44),113.603463694899,3,0,0,225,50625
"75","ARIMA2",2031 Apr,N(114, 44),114.211693732371,4,0,0,226,51076
"76","ARIMA2",2031 May,N(115, 44),114.615616008575,5,0,0,227,51529
"77","ARIMA2",2031 Jun,N(118, 44),117.533820096492,6,1,0,228,51984
"78","ARIMA2",2031 Jul,N(116, 44),115.627700285484,7,0,0,229,52441
"79","ARIMA2",2031 Aug,N(116, 44),116.228608497119,8,0,0,230,52900
"80","ARIMA2",2031 Sep,N(117, 44),116.639718986126,9,0,0,231,53361
"81","ARIMA2",2031 Oct,N(117, 44),117.237163656652,10,0,0,232,53824
"82","ARIMA2",2031 Nov,N(118, 44),117.651674482017,11,0,0,233,54289
"83","ARIMA2",2031 Dec,N(121, 44),120.559483246859,12,1,0,234,54756
"84","ARIMA2",2032 Jan,N(119, 44),118.663569058906,1,0,0,235,55225
"85","ARIMA2",2032 Feb,N(119, 44),119.25445788572,2,0,0,236,55696
